,Outlier,Max,Ctx,Max_Ctx
178,12667,43995,"[0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0.
 0.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
18,34652,31218,"[1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 5, 6]
"
14,48153,23035,"[0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0.
 0.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 7]
  Calendar Years: [0, 1, 4, 5, 7]
"
16,87511,48210,"[0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
155,28768,37835,"[0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
40,151940,30927,"[0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 7, 8]
  Job Titles: [1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6]
"
82,28764,35268,"[0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1.
 0.]","  Employers: [1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
177,11630,41042,"[1. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0.
 0.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
95,126332,20066,"[0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7]
  Job Titles: [0, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 3, 5, 6, 7]
"
184,34652,31218,"[0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 5, 6]
"
30,11630,41042,"[1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
23,12667,43995,"[0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
113,28768,37835,"[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
141,46953,18347,"[0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 8]
  Job Titles: [0, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 6, 7]
"
64,33889,30746,"[0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 7, 8]
  Job Titles: [0, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 7]
"
93,16325,28849,"[1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6]
"
131,47054,5740,"[0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 4, 5, 7]
  Calendar Years: [1]
"
