,Outlier,Max,Ctx,Max_Ctx
457,259860,1601,[1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1.],0
469,258670,23481,[1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0.],0
403,254386,19008,[0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1.],0
117,254627,24059,[0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1.],0
164,259860,1601,[1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
499,281824,12475,[1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0.],0
302,261016,5121,[1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0.],0
392,349795,3483,[0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0.],0
64,254386,19008,[0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1.],0
35,283998,1601,[1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1.],0
135,284023,1601,[0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1.],0
136,262863,8793,[1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0.],0
355,258670,23481,[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1.],0
6,257547,27984,[0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0.],0
461,258670,23481,[1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0.],0
347,262863,8793,[0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 0.],0
4,281824,12475,[1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],0
222,259847,12475,[0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0.],0
40,262863,8793,[0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1.],0
339,259860,1601,[1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0.],0
173,260981,9282,[0. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1.],0
387,254721,27984,[1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0. 0.],0
308,254150,16298,[1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1.],0
322,259847,12475,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1.],0
331,259847,12475,[0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0.],0
87,262863,8793,[1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0.],0
350,254150,16298,[0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0.],0
137,283935,22395,[1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],0
484,287426,4151,[1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0.],0
311,257498,24059,[0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0.],0
362,259728,18662,[0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0.],0
221,258306,8607,[1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1.],0
262,254721,27984,[0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0.],0
46,254721,27984,[1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0.],0
399,259728,18662,[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0
113,302227,14250,[1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0.],0
500,507534,1601,[1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1.],0
390,254386,19008,[0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0.],0
197,259847,12475,[0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0.],0
190,259860,1601,[1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1.],0
374,281824,12475,[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],0
276,259728,18662,[0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],0
139,258670,23481,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.],0
105,281824,12475,[1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],0
420,254721,27984,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1.],0
266,283998,1601,[1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1.],0
111,259860,1601,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1.],0
150,258670,23481,[1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1.],0
33,254150,16298,[0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1.],0
51,261016,5121,[1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0.],0
464,254627,24059,[0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0.],0
327,258306,8607,[1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0.],0
494,254627,24059,[1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0.],0
108,257547,27984,[1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0.],0
319,260996,18281,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],0
479,284023,1601,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1.],0
345,283998,1601,[1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1.],0
52,258670,23481,[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1.],0
289,254627,24059,[0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1.],0
487,287426,4151,[1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1.],0
341,254721,27984,[0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0.],0
169,257547,27984,[0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1.],0
459,254386,19008,[0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0.],0
7,507534,1601,[1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1.],0
188,258306,8607,[1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1.],0
290,254386,19008,[1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1.],0
199,259860,1601,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1.],0
29,283998,1601,[1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1.],0
186,258670,23481,[1. 1. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0.],0
242,258306,8607,[1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1.],0
254,254721,27984,[1. 1. 0. 0. 1. 1. 0. 1. 1. 1. 1. 1.],0
380,261016,5121,[1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0
2,259728,18662,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1.],0
120,254386,19008,[1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1.],0
422,254627,24059,[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0.],0
466,254386,19008,[1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1.],0
398,261016,5121,[1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0.],0
444,258670,23481,[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0.],0
265,287426,4151,[1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 1.],0
316,254386,19008,[0. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0.],0
198,257498,24059,[0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1.],0
99,281824,12475,[1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0.],0
388,349795,3483,[0. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],0
89,254150,16298,[0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 0.],0
216,259860,1601,[1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0
195,259728,18662,[0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],0
326,257547,27984,[0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0.],0
436,254150,16298,[0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],0
274,259860,1601,[1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1.],0
159,254721,27984,[1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.],0
30,254721,27984,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0.],0
476,254150,16298,[0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0.],0
370,254150,16298,[1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1.],0
344,259728,18662,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1.],0
481,258306,8607,[1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1.],0
13,254150,16298,[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0.],0
424,263195,16162,[1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0.],0
144,257547,27984,[0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0.],0
62,262863,8793,[1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1.],0
325,261016,5121,[1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],0
401,254721,27984,[1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1.],0
57,254721,27984,[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0
338,258670,23481,[1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 1.],0
282,261189,12803,[1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1.],0
267,254721,27984,[1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1.],0
