,Outlier,Max,Ctx,Max_Ctx
22,14,27954,[0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0
474,3,11842,[1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1.],0
191,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
8,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
433,0,9304,[1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
727,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0.],0
95,0,9304,[1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
828,14,27954,[0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0
573,3,11842,[0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0.],0
580,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0
1346,2,3655,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0.],0
430,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1.],0
1355,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0.],0
317,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1.],0
1021,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
878,13,24441,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0.],0
202,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0
884,13,24441,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1.],0
811,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0.],0
821,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.],0
142,2,3655,[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
458,2,3655,[0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1.],0
1321,2,3655,[0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
2275,2,3655,[1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1.],0
1596,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0
1095,2,3655,[1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1.],0
1076,3,11842,[0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 1.],0
2034,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
1068,0,9304,[1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
140,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0.],0
1443,2,3655,[1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
