,Outlier,Max,Ctx,Max_Ctx
239,263152,2896,[0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 1.],0
55,254564,20815,[0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1.],0
213,254627,18474,[0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1.],0
499,257498,18474,[0. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1.],0
11,283998,2195,[1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 1.],0
459,257498,18474,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.],0
324,263145,3898,[1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],0
472,254386,27984,[1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1.],0
421,260981,2857,[1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0.],0
117,379899,5406,[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0.],0
102,263145,3898,[1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],0
80,254627,18474,[0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0.],0
84,254150,27714,[0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1.],0
305,258670,27984,[1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0.],0
96,257498,18474,[0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.],0
135,259728,6334,[0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],0
85,254386,27984,[0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1.],0
391,254386,27984,[0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],0
124,258670,27984,[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1.],0
131,263152,2896,[0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0.],0
390,278467,5121,[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1.],0
444,254386,27984,[1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0.],0
463,263145,3898,[1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],0
34,255048,5414,[0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1.],0
157,258670,27984,[1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1.],0
73,261016,18281,[1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0.],0
120,254386,27984,[0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0.],0
100,254564,20815,[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.],0
498,259833,27984,[1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1.],0
68,254721,27984,[1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0.],0
214,254386,27984,[0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
4,254564,20815,[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.],0
447,262863,15955,[1. 0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0.],0
288,261016,18281,[1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0.],0
439,259846,10616,[1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0.],0
170,254721,27984,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
109,261285,19330,[0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1.],0
162,278325,2184,[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0
489,263152,2896,[0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1.],0
89,259728,6334,[0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0
338,254150,27714,[0. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0.],0
221,254721,27984,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1.],0
229,254386,27984,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
130,258670,27984,[1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0.],0
132,258670,27984,[1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1.],0
335,254386,27984,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 0.],0
6,259728,6334,[0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1.],0
103,259846,10616,[1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
336,257547,18662,[0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0
191,260981,2857,[1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1.],0
112,261079,18281,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0.],0
441,261016,18281,[1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0.],0
173,302225,6334,[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],0
470,254150,27714,[0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1.],0
97,261285,19330,[0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1.],0
169,259833,27984,[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1.],0
101,260981,2857,[0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0.],0
397,278325,2184,[1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1.],0
111,283935,26383,[1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0
122,259728,6334,[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
491,257547,18662,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],0
290,254564,20815,[0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0.],0
197,254564,20815,[0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1.],0
129,278325,2184,[1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0
166,260981,2857,[1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0.],0
418,257498,18474,[0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1.],0
272,263152,2896,[0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0.],0
273,263152,2896,[0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0.],0
490,254150,27714,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0.],0
250,254564,20815,[0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0.],0
339,259846,10616,[0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0
467,283998,2195,[1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1.],0
328,261016,18281,[1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],0
209,259846,10616,[1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0
128,261285,19330,[0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0.],0
145,254386,27984,[0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1.],0
212,257547,18662,[0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1.],0
381,260981,2857,[0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 1.],0
301,261178,10616,[1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1.],0
309,254386,27984,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],0
358,254721,27984,[0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1.],0
127,259846,10616,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0.],0
16,254150,27714,[0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0.],0
66,254721,27984,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.],0
218,261285,19330,[0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1.],0
238,254627,18474,[0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1.],0
426,254150,27714,[0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1.],0
373,254150,27714,[1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
2,258670,27984,[1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1.],0
217,283998,2195,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1.],0
452,254721,27984,[1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1.],0
235,262629,13260,[1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1.],0
454,283935,26383,[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],0
252,258670,27984,[1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1.],0
422,254150,27714,[0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1.],0
415,254627,18474,[0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0.],0
137,259728,6334,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 0.],0
27,261016,18281,[1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1.],0
249,257547,18662,[0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0.],0
32,278467,5121,[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],0
330,259728,6334,[1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0.],0
385,260981,2857,[0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1.],0
261,258670,27984,[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1.],0
331,254721,27984,[1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1.],0
442,259728,6334,[0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0
69,259833,27984,[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1.],0
433,261189,27714,[1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0.],0
188,259846,10616,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
123,261079,18281,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1.],0
30,254150,27714,[0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0.],0
64,259833,27984,[1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1.],0
227,258670,27984,[1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0.],0
178,259728,6334,[0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
139,259728,6334,[0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0.],0
116,257547,18662,[0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1.],0
429,254627,18474,[0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0.],0
494,261178,10616,[1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0.],0
440,278467,5121,[0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0
94,259728,6334,[0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1.],0
76,254386,27984,[1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
262,263152,2896,[0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1.],0
63,259728,6334,[0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],0
430,261016,18281,[1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1.],0
160,263145,3898,[1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],0
10,254721,27984,[0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1.],0
400,259728,6334,[0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0.],0
364,261285,19330,[0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1.],0
323,254627,18474,[0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 0.],0
308,261016,18281,[1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1.],0
61,278325,2184,[1. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0
204,254150,27714,[0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0.],0
265,259833,27984,[1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1.],0
377,278325,2184,[1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0.],0
44,263145,3898,[1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0.],0
12,254721,27984,[1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0.],0
292,257498,18474,[0. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1. 0.],0
317,278467,5121,[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0
340,259728,6334,[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1.],0
285,259728,6334,[0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1.],0
327,263145,3898,[1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],0
26,254564,20815,[0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1.],0
196,254150,27714,[0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0.],0
469,254721,27984,[1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0.],0
302,254627,18474,[0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 1.],0
108,254150,27714,[0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0.],0
394,254386,27984,[1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
282,259833,27984,[1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 0.],0
190,257498,18474,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0.],0
271,254564,20815,[0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0.],0
149,257498,18474,[0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0.],0
147,259846,10616,[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
348,259833,27984,[1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0.],0
455,254627,18474,[0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1.],0
236,254627,18474,[0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1.],0
62,261285,19330,[0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1.],0
346,278325,2184,[1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0.],0
59,278325,2184,[1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],0
56,254721,27984,[0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1.],0
183,255048,5414,[0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0.],0
378,258670,27984,[1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1.],0
314,261285,19330,[0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0.],0
267,263145,3898,[1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],0
363,254150,27714,[0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0.],0
461,254150,27714,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0.],0
349,254150,27714,[0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0.],0
482,254386,27984,[1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
198,254721,27984,[0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0.],0
259,254150,27714,[0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1.],0
386,254721,27984,[1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1.],0
167,261016,18281,[1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0.],0
154,254150,27714,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0.],0
207,284023,2761,[0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1.],0
333,263152,2896,[0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0.],0
257,261189,27714,[1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1.],0
86,261079,18281,[1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0.],0
36,254386,27984,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1.],0
352,261016,18281,[1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0.],0
428,261178,10616,[1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0.],0
179,263152,2896,[0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0.],0
416,254386,27984,[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0.],0
125,260981,2857,[1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1.],0
448,262629,13260,[1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1.],0
192,254386,27984,[0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
215,283998,2195,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1.],0
5,261285,19330,[0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1.],0
151,254627,18474,[0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 1.],0
485,283998,2195,[1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1.],0
276,254150,27714,[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0
424,283935,26383,[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1.],0
206,262863,15955,[1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1.],0
232,254721,27984,[0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0
413,261079,18281,[1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1.],0
353,254721,27984,[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1.],0
45,262629,13260,[1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0.],0
29,259833,27984,[0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0.],0
153,254150,27714,[0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1.],0
365,254627,18474,[0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0.],0
374,260981,2857,[0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0
367,254386,27984,[1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0.],0
451,254386,27984,[0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1.],0
488,259833,27984,[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1.],0
240,254386,27984,[0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],0
479,254721,27984,[1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0.],0
50,260981,2857,[1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0.],0
245,278325,2184,[1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0
483,257498,18474,[0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0.],0
114,257547,18662,[0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1.],0
354,254721,27984,[1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0.],0
256,348859,21195,[1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0.],0
315,254165,27984,[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0
57,254721,27984,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.],0
270,258670,27984,[1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0.],0
277,278325,2184,[1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0.],0
368,263145,3898,[1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1.],0
337,263152,2896,[0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1.],0
471,260981,2857,[0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1.],0
332,261016,18281,[1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0.],0
41,259846,10616,[0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1.],0
427,262863,15955,[1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0.],0
269,254627,18474,[0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0.],0
351,254627,18474,[0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0.],0
370,259728,6334,[0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0.],0
306,254150,27714,[0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0.],0
356,254721,27984,[0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1.],0
222,254721,27984,[0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0
118,254150,27714,[0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0.],0
9,254721,27984,[1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0.],0
435,257547,18662,[0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0
168,283998,2195,[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1.],0
156,259728,6334,[1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],0
161,259846,10616,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
304,285306,1988,[0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1.],0
25,259728,6334,[0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.],0
140,283998,2195,[1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1.],0
65,254721,27984,[0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0.],0
105,254386,27984,[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1.],0
350,254721,27984,[0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1.],0
438,254721,27984,[1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0.],0
478,254721,27984,[1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0.],0
237,254564,20815,[0. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1.],0
383,254721,27984,[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0.],0
158,254721,27984,[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0.],0
115,254564,20815,[1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1.],0
