,Record ID,AgencyType,State,Year,VictimAge,Weapon
0,254096,6000,Michigan,1992,53,Blunt Object
1,254097,5000,Michigan,1992,21,Knife
2,254100,8000,Michigan,1992,47,Knife
3,254102,6000,Michigan,1992,40,Shotgun
4,254106,5000,Michigan,1992,53,Knife
5,254108,5000,Michigan,1992,24,Knife
6,254109,5000,Michigan,1992,24,Knife
7,254112,5000,Michigan,1992,61,Shotgun
8,254113,5000,Michigan,1992,50,Knife
9,254114,5000,Michigan,1992,53,Knife
10,254117,5000,Michigan,1992,0,Blunt Object
11,254120,5000,Michigan,1992,0,Blunt Object
12,254121,5000,Michigan,1992,21,Knife
13,254123,5000,Michigan,1992,46,Blunt Object
14,254127,6000,Michigan,1992,20,Shotgun
15,254128,5000,Michigan,1992,55,Knife
16,254129,5000,Michigan,1992,27,Rifle
17,254130,6000,Michigan,1992,51,Rifle
18,254131,6000,Michigan,1992,49,Rifle
19,254134,5000,Michigan,1992,47,Knife
20,254141,5000,Michigan,1992,19,Shotgun
21,254143,5000,Michigan,1992,18,Knife
22,254144,5000,Michigan,1992,28,Shotgun
23,254147,5000,Michigan,1992,20,Blunt Object
24,254150,5000,Michigan,1992,11,Rifle
25,254154,5000,Michigan,1992,30,Knife
26,254156,5000,Michigan,1992,48,Knife
27,254165,5000,Michigan,1992,8,Rifle
28,254171,5000,Michigan,1992,32,Rifle
29,254172,5000,Michigan,1992,35,Knife
30,254177,5000,Michigan,1992,34,Knife
31,254182,5000,Michigan,1992,34,Knife
32,254183,5000,Michigan,1992,29,Rifle
33,254184,5000,Michigan,1992,1,Blunt Object
34,254187,5000,Michigan,1992,42,Knife
35,254188,5000,Michigan,1992,25,Knife
36,254190,5000,Michigan,1992,29,Shotgun
37,254192,5000,Michigan,1992,50,Blunt Object
38,254193,6000,Michigan,1992,27,Rifle
39,254194,6000,Michigan,1992,25,Rifle
40,254196,5000,Michigan,1992,24,Knife
41,254197,5000,Michigan,1992,19,Knife
42,254198,8000,Michigan,1992,18,Knife
43,254199,8000,Michigan,1992,18,Knife
44,254200,8000,Michigan,1992,28,Knife
45,254201,6000,Michigan,1992,18,Knife
46,254203,5000,Michigan,1992,37,Shotgun
47,254205,5000,Michigan,1992,21,Rifle
48,254206,5000,Michigan,1992,51,Knife
49,254208,5000,Michigan,1992,24,Blunt Object
50,254211,5000,Michigan,1992,35,Knife
51,254212,5000,Michigan,1992,32,Knife
52,254214,5000,Michigan,1992,28,Blunt Object
53,254215,8000,Michigan,1992,36,Blunt Object
54,254216,8000,Michigan,1992,20,Shotgun
55,254217,8000,Michigan,1992,20,Rifle
56,254219,5000,Michigan,1992,29,Knife
57,254220,5000,Michigan,1992,24,Knife
58,254221,5000,Michigan,1992,27,Blunt Object
59,254222,5000,Michigan,1992,21,Shotgun
60,254224,6000,Michigan,1992,35,Shotgun
61,254225,6000,Michigan,1992,34,Shotgun
62,254231,5000,Michigan,1992,32,Blunt Object
63,254232,5000,Michigan,1992,54,Blunt Object
64,254234,5000,Michigan,1992,15,Blunt Object
65,254235,5000,Michigan,1992,2,Blunt Object
66,254237,5000,Michigan,1992,31,Knife
67,254239,5000,Michigan,1992,25,Knife
68,254242,5000,Michigan,1992,44,Shotgun
69,254243,5000,Michigan,1992,26,Shotgun
70,254244,5000,Michigan,1992,43,Knife
71,254246,6000,Michigan,1992,54,Blunt Object
72,254249,6000,Michigan,1992,42,Blunt Object
73,254254,6000,Michigan,1992,16,Knife
74,254258,5000,Michigan,1992,38,Shotgun
75,254259,5000,Michigan,1992,28,Knife
76,254262,5000,Michigan,1992,57,Blunt Object
77,254263,5000,Michigan,1992,54,Blunt Object
78,254264,5000,Michigan,1992,22,Knife
