Record ID,AgencyType,State,Year,VictimAge,Weapon
254096,6000,Michigan,1992,53,Blunt Object
254097,5000,Michigan,1992,21,Knife
254100,8000,Michigan,1992,47,Knife
254102,6000,Michigan,1992,40,Shotgun
254106,5000,Michigan,1992,53,Knife
254108,5000,Michigan,1992,24,Knife
254109,5000,Michigan,1992,24,Knife
254112,5000,Michigan,1992,61,Shotgun
254113,5000,Michigan,1992,50,Knife
254114,5000,Michigan,1992,53,Knife
254117,5000,Michigan,1992,0,Blunt Object
254120,5000,Michigan,1992,0,Blunt Object
254121,5000,Michigan,1992,21,Knife
254123,5000,Michigan,1992,46,Blunt Object
254127,6000,Michigan,1992,20,Shotgun
254128,5000,Michigan,1992,55,Knife
254129,5000,Michigan,1992,27,Rifle
254130,6000,Michigan,1992,51,Rifle
254131,6000,Michigan,1992,49,Rifle
254134,5000,Michigan,1992,47,Knife
254141,5000,Michigan,1992,19,Shotgun
254143,5000,Michigan,1992,18,Knife
254144,5000,Michigan,1992,28,Shotgun
254147,5000,Michigan,1992,20,Blunt Object
254150,5000,Michigan,1992,11,Rifle
254154,5000,Michigan,1992,30,Knife
254156,5000,Michigan,1992,48,Knife
254165,5000,Michigan,1992,8,Rifle
254171,5000,Michigan,1992,32,Rifle
254172,5000,Michigan,1992,35,Knife
254177,5000,Michigan,1992,34,Knife
254182,5000,Michigan,1992,34,Knife
254183,5000,Michigan,1992,29,Rifle
254184,5000,Michigan,1992,1,Blunt Object
254187,5000,Michigan,1992,42,Knife
254188,5000,Michigan,1992,25,Knife
254190,5000,Michigan,1992,29,Shotgun
254192,5000,Michigan,1992,50,Blunt Object
254193,6000,Michigan,1992,27,Rifle
254194,6000,Michigan,1992,25,Rifle
254196,5000,Michigan,1992,24,Knife
254197,5000,Michigan,1992,19,Knife
254198,8000,Michigan,1992,18,Knife
254199,8000,Michigan,1992,18,Knife
254200,8000,Michigan,1992,28,Knife
254201,6000,Michigan,1992,18,Knife
254203,5000,Michigan,1992,37,Shotgun
254205,5000,Michigan,1992,21,Rifle
254206,5000,Michigan,1992,51,Knife
254208,5000,Michigan,1992,24,Blunt Object
254211,5000,Michigan,1992,35,Knife
254212,5000,Michigan,1992,32,Knife
254214,5000,Michigan,1992,28,Blunt Object
254215,8000,Michigan,1992,36,Blunt Object
254216,8000,Michigan,1992,20,Shotgun
254217,8000,Michigan,1992,20,Rifle
254219,5000,Michigan,1992,29,Knife
254220,5000,Michigan,1992,24,Knife
254221,5000,Michigan,1992,27,Blunt Object
254222,5000,Michigan,1992,21,Shotgun
254224,6000,Michigan,1992,35,Shotgun
254225,6000,Michigan,1992,34,Shotgun
254231,5000,Michigan,1992,32,Blunt Object
254232,5000,Michigan,1992,54,Blunt Object
254234,5000,Michigan,1992,15,Blunt Object
254235,5000,Michigan,1992,2,Blunt Object
254237,5000,Michigan,1992,31,Knife
254239,5000,Michigan,1992,25,Knife
254242,5000,Michigan,1992,44,Shotgun
254243,5000,Michigan,1992,26,Shotgun
254244,5000,Michigan,1992,43,Knife
254246,6000,Michigan,1992,54,Blunt Object
254249,6000,Michigan,1992,42,Blunt Object
254254,6000,Michigan,1992,16,Knife
254258,5000,Michigan,1992,38,Shotgun
254259,5000,Michigan,1992,28,Knife
254262,5000,Michigan,1992,57,Blunt Object
254263,5000,Michigan,1992,54,Blunt Object
254264,5000,Michigan,1992,22,Knife
254266,5000,Michigan,1992,25,Blunt Object
254267,5000,Michigan,1992,33,Knife
254268,5000,Michigan,1992,0,Blunt Object
254270,5000,Michigan,1992,31,Rifle
254271,5000,Michigan,1992,56,Blunt Object
254274,5000,Michigan,1992,34,Knife
254275,5000,Michigan,1992,28,Rifle
254276,6000,Michigan,1992,46,Shotgun
254277,5000,Michigan,1992,26,Knife
254279,5000,Michigan,1992,87,Blunt Object
254280,6000,Michigan,1992,31,Shotgun
254281,6000,Michigan,1992,26,Rifle
254283,6000,Michigan,1992,63,Rifle
254284,6000,Michigan,1992,22,Blunt Object
254285,6000,Michigan,1992,34,Rifle
254288,5000,Michigan,1992,19,Knife
254290,5000,Michigan,1992,21,Knife
254293,6000,Michigan,1992,34,Knife
254294,5000,Michigan,1992,34,Knife
254295,5000,Michigan,1992,23,Shotgun
254297,5000,Michigan,1992,15,Knife
254300,5000,Michigan,1992,22,Knife
254303,5000,Michigan,1992,19,Shotgun
254305,5000,Michigan,1992,2,Blunt Object
254306,5000,Michigan,1992,40,Blunt Object
254309,5000,Michigan,1992,35,Knife
254311,5000,Michigan,1992,75,Knife
254312,5000,Michigan,1992,28,Blunt Object
254315,5000,Michigan,1992,65,Knife
254317,5000,Michigan,1992,44,Knife
254318,5000,Michigan,1992,22,Rifle
254320,5000,Michigan,1992,71,Knife
254325,6000,Michigan,1992,20,Knife
254327,8000,Michigan,1992,56,Rifle
254329,6000,Michigan,1992,28,Blunt Object
254330,5000,Michigan,1992,43,Knife
254331,5000,Michigan,1992,17,Shotgun
254332,5000,Michigan,1992,17,Knife
254333,5000,Michigan,1992,28,Blunt Object
254338,6000,Michigan,1992,50,Blunt Object
254340,6000,Michigan,1992,31,Knife
254341,5000,Michigan,1992,65,Blunt Object
254342,5000,Michigan,1992,25,Knife
254343,5000,Michigan,1992,21,Knife
254345,5000,Michigan,1992,33,Knife
254346,5000,Michigan,1992,35,Knife
254348,5000,Michigan,1992,29,Blunt Object
254351,5000,Michigan,1992,38,Knife
254353,5000,Michigan,1992,39,Blunt Object
254355,5000,Michigan,1992,20,Shotgun
254356,5000,Michigan,1992,25,Blunt Object
254357,5000,Michigan,1992,40,Knife
254358,5000,Michigan,1992,30,Knife
254363,5000,Michigan,1992,21,Rifle
254367,5000,Michigan,1992,51,Knife
254369,5000,Michigan,1992,21,Blunt Object
254371,5000,Michigan,1992,42,Knife
254373,5000,Michigan,1992,20,Shotgun
254376,6000,Michigan,1992,21,Knife
254381,6000,Michigan,1992,78,Blunt Object
254383,6000,Michigan,1992,30,Rifle
254384,8000,Michigan,1992,20,Shotgun
254386,8000,Michigan,1992,8,Shotgun
254388,5000,Michigan,1992,22,Knife
254391,6000,Michigan,1992,24,Blunt Object
254392,6000,Michigan,1992,39,Knife
254393,5000,Michigan,1992,26,Knife
254394,5000,Michigan,1992,24,Knife
254395,5000,Michigan,1992,31,Knife
254397,8000,Michigan,1992,61,Knife
254402,5000,Michigan,1992,46,Knife
254403,5000,Michigan,1992,32,Knife
254406,5000,Michigan,1992,35,Knife
254414,5000,Michigan,1992,22,Knife
254415,5000,Michigan,1992,20,Shotgun
254418,5000,Michigan,1992,37,Blunt Object
254425,5000,Michigan,1992,21,Knife
254426,5000,Michigan,1992,40,Rifle
254436,5000,Michigan,1992,18,Shotgun
254444,5000,Michigan,1992,20,Knife
254449,5000,Michigan,1992,44,Shotgun
254450,5000,Michigan,1992,25,Blunt Object
254456,5000,Michigan,1992,40,Knife
254457,5000,Michigan,1992,15,Rifle
254459,5000,Michigan,1992,1,Blunt Object
254460,5000,Michigan,1992,23,Rifle
254461,5000,Michigan,1992,59,Rifle
254462,5000,Michigan,1992,26,Knife
254469,5000,Michigan,1992,22,Shotgun
254470,5000,Michigan,1992,72,Knife
254475,5000,Michigan,1992,18,Shotgun
254490,5000,Michigan,1992,16,Shotgun
254500,5000,Michigan,1992,50,Blunt Object
254502,5000,Michigan,1992,21,Shotgun
254503,5000,Michigan,1992,21,Knife
254504,5000,Michigan,1992,42,Knife
254505,5000,Michigan,1992,39,Knife
254513,5000,Michigan,1992,1,Blunt Object
254514,5000,Michigan,1992,1,Blunt Object
254515,5000,Michigan,1992,35,Rifle
254523,5000,Michigan,1992,89,Blunt Object
